ImageID,Recall@100,Precision@100,FPR@100
val\02f42085acfad7bc,0.5625,0.5625,0.4375
val\061ea2a99086fa92,0.0,0.0,1.0
val\09b663e67b511024,0.6875,0.6875,0.3125
val\0ba133e5d7ae9ccd,0.6875,0.6875,0.3125
val\0ba9d2cc31b93d70,0.5,0.5,0.5000000000000002
val\0df49be355be1f96,0.5625,0.5625,0.4375
val\127e3f5d73ce1c24,0.4375,0.4375,0.5625
val\171c2848e3ad670e,0.4375,0.4375,0.5625
val\1cadca0d3ff6e185,0.9375,0.9375,0.0625
val\22a1620e6c061ab9,0.1875,0.1875,0.8125
val\26194d549b5ad958,0.5,0.5,0.5000000000000002
val\273fe8482d92d854,0.5,0.5,0.5000000000000002
val\2b3f752d363cb02a,0.625,0.625,0.375
val\2cdf3c6d0c7e4a85,0.5625,0.5625,0.4375
val\2d6a5ad44a5b0a4d,1.0,1.0,0.0
val\30f1505704cf7da0,0.25,0.25,0.7499999999999998
val\316f70c3032cd5ef,0.4375,0.4375,0.5625
val\330ef1d4236d51cc,0.375,0.375,0.625
val\33cbc33de610bd49,0.8125,0.8125000000000009,0.1875
val\39bd30d526975082,0.25,0.25,0.7499999999999998
val\3a18c41d6a250c1a,0.4375,0.4375,0.5625
val\3c808b952134a90b,0.6875,0.6875,0.3125
val\3e1089f0b7602cfb,0.5625,0.5625,0.4375
val\3f4376d367041c4b,0.6875,0.6875,0.3125
val\3feda4a7beb2af02,0.75,0.7500000000000009,0.25
val\4428ba32f644fb6b,0.5625,0.5625,0.4375
val\46b3ee69cede9f7c,0.4375,0.4375,0.5625
val\4fdcf92404b6eae0,0.8125,0.8125000000000009,0.1875
val\50fa9e94fafcb80e,0.5625,0.5625,0.4375
val\52f38994b183f105,0.4375,0.4375,0.5625
val\5337819360fbbe51,0.625,0.625,0.375
val\566b00e0075d382e,0.6875,0.6875,0.3125
val\5859ba4e6f19770e,0.5625,0.5625,0.4375
val\5de462fb191445b6,0.6875,0.6875,0.3125
val\5fa4d9cf5cacb916,0.5625,0.5625,0.4375
val\638d4334762fe254,0.5,0.5,0.5000000000000002
val\64fb6f2d46183bbf,0.25,0.25,0.7499999999999998
val\66c66c41671400a4,0.75,0.7500000000000009,0.25
val\686dde194316c27c,0.6875,0.6875,0.3125
val\692c5c6be088dbf8,0.5625,0.5625,0.4375
val\697a23a317599abb,0.25,0.25,0.7499999999999998
val\6c25a2bc6f160530,0.625,0.625,0.375
val\7119e2a9a3832d36,0.5625,0.5625,0.4375
val\7348dec4f19d9d7f,0.375,0.375,0.625
val\796bd28e09de2124,0.9375,0.9375,0.0625
val\8101dfa994cd33cb,0.75,0.7500000000000009,0.25
val\8181e1fa3f23418f,0.375,0.375,0.625
val\883213cda9cba09b,0.8125,0.8125000000000009,0.1875
val\8c3a7ca22c0ac8d9,0.375,0.375,0.625
val\8cda00f3b8e77296,0.375,0.375,0.625
val\8ff164d554186670,0.375,0.375,0.625
val\927e3a1efe86960a,0.4375,0.4375,0.5625
val\9580ffc0549819ea,0.5,0.5,0.5000000000000002
val\9862eaae40f4fdb1,0.4375,0.4375,0.5625
val\99613ebed03f72d0,0.5,0.5,0.5000000000000002
val\9971996f732fce6e,0.6875,0.6875,0.3125
val\9e2c53451ec7bbc0,0.4375,0.4375,0.5625
val\9eafedd09005da0f,0.6875,0.6875,0.3125
val\a5d28dfec6c50f89,0.1875,0.1875,0.8125
val\a8fbc65e302d32d2,0.875,0.875,0.125
val\abd40bb35d16ea3c,0.5625,0.5625,0.4375
val\b0670fed268da345,0.4375,0.4375,0.5625
val\b1607ca77bd11c84,0.06250000000000089,0.06249999999999911,0.9375
val\b4f6614c7a1794b5,0.5,0.5,0.5000000000000002
val\b6e2e94c47ebd241,0.8125,0.8125000000000009,0.1875
val\b767187cfd56c63f,0.4375,0.4375,0.5625
val\b96cd8e4957146e1,0.4375,0.4375,0.5625
val\bd80ce077e9440fe,0.4375,0.4375,0.5625
val\bde0112066be318e,0.4375,0.4375,0.5625
val\c2b9ea7fa6acb336,0.5,0.5,0.5000000000000002
