ImageID,Prediction,Score
01ab773186c630c4,1,1.2640980034154086e-05
01ab773186c630c4,1,1.2097550575828385e-05
01ab773186c630c4,0,1.2085033840098352e-05
01ab773186c630c4,0,1.1464686930716105e-05
01ab773186c630c4,1,1.140252577531906e-05
01ab773186c630c4,1,1.1384568619161103e-05
01ab773186c630c4,1,1.1222604738868886e-05
01ab773186c630c4,1,1.0859113403415433e-05
01ab773186c630c4,1,1.0795266679322757e-05
01ab773186c630c4,1,1.0663760633970752e-05
022c1f420446d118,1,4.447066370656623e-06
022c1f420446d118,0,4.127316992438967e-06
022c1f420446d118,1,4.124711983448206e-06
022c1f420446d118,1,3.6122557615938705e-06
022c1f420446d118,0,3.600745002128516e-06
022c1f420446d118,1,3.597163075651525e-06
022c1f420446d118,1,3.5862778858965594e-06
022c1f420446d118,1,3.584498742003904e-06
022c1f420446d118,1,3.529929905768766e-06
022c1f420446d118,0,3.501965554479091e-06
0709eb8e8c2d19fa,1,1.1083728038637508e-05
0709eb8e8c2d19fa,1,1.0734812884792326e-05
0709eb8e8c2d19fa,1,1.060002162074751e-05
0709eb8e8c2d19fa,1,1.0533220342508737e-05
0709eb8e8c2d19fa,1,1.023711022938525e-05
0709eb8e8c2d19fa,1,1.0211999756622182e-05
0709eb8e8c2d19fa,1,1.0184598935492945e-05
0709eb8e8c2d19fa,1,9.89345116044163e-06
0709eb8e8c2d19fa,0,9.888779709256503e-06
0709eb8e8c2d19fa,0,9.829339694629783e-06
07f52dac7724e48d,0,1.754311047368628e-05
07f52dac7724e48d,1,1.6430129272586546e-05
07f52dac7724e48d,1,1.555801705061481e-05
07f52dac7724e48d,1,1.4785085613835015e-05
07f52dac7724e48d,1,1.4763640245128155e-05
07f52dac7724e48d,0,1.4139884005441092e-05
07f52dac7724e48d,1,1.3667830044152341e-05
07f52dac7724e48d,1,1.3384183636476008e-05
07f52dac7724e48d,1,1.3340562165256995e-05
07f52dac7724e48d,1,1.2887528969357608e-05
092f6bd6d306fdf6,1,1.8704812014104647e-05
092f6bd6d306fdf6,1,1.6084782206963945e-05
092f6bd6d306fdf6,1,1.5455705680733046e-05
092f6bd6d306fdf6,1,1.4924235313281496e-05
092f6bd6d306fdf6,1,1.4898392455338776e-05
092f6bd6d306fdf6,1,1.4877761929942206e-05
092f6bd6d306fdf6,0,1.4752544883322492e-05
092f6bd6d306fdf6,1,1.4727869213400602e-05
092f6bd6d306fdf6,1,1.4663041454193277e-05
092f6bd6d306fdf6,1,1.4461784192051232e-05
105c98d1ee5f03ef,1,5.0985087152207155e-06
105c98d1ee5f03ef,1,4.9707651543818386e-06
105c98d1ee5f03ef,1,4.966983723778534e-06
105c98d1ee5f03ef,1,4.80882944472313e-06
105c98d1ee5f03ef,1,4.762383333619016e-06
105c98d1ee5f03ef,1,4.687331070342648e-06
105c98d1ee5f03ef,1,4.526353925516657e-06
105c98d1ee5f03ef,1,4.488859408211275e-06
105c98d1ee5f03ef,0,4.458868835324e-06
105c98d1ee5f03ef,0,4.4190639621633606e-06
111147418c6aca65,0,1.3920045416979135e-05
111147418c6aca65,1,1.3604419075321178e-05
111147418c6aca65,1,1.3009662570387582e-05
111147418c6aca65,1,1.2933189152554796e-05
111147418c6aca65,1,1.2876334258170813e-05
111147418c6aca65,1,1.281418705265724e-05
111147418c6aca65,1,1.2718284846781896e-05
111147418c6aca65,1,1.2706872087380714e-05
111147418c6aca65,1,1.261423231508001e-05
111147418c6aca65,1,1.2494386388384847e-05
11596769ce629446,1,5.581878033744176e-06
11596769ce629446,0,5.496489981129065e-06
11596769ce629446,1,5.478223725363331e-06
11596769ce629446,0,5.359458940972101e-06
11596769ce629446,0,5.12041608970232e-06
11596769ce629446,1,5.0863443009285345e-06
11596769ce629446,1,4.972070663629477e-06
11596769ce629446,1,4.93654936096487e-06
11596769ce629446,1,4.895751683509849e-06
11596769ce629446,1,4.81204504749088e-06
12527a39a5152a59,1,7.984229343861643e-06
12527a39a5152a59,1,7.896982189932102e-06
12527a39a5152a59,1,7.87064863931524e-06
12527a39a5152a59,1,7.488013925591327e-06
12527a39a5152a59,1,7.443737040940911e-06
12527a39a5152a59,1,7.225024575455296e-06
12527a39a5152a59,1,7.16625713955264e-06
12527a39a5152a59,1,7.155845961938617e-06
12527a39a5152a59,1,7.1054040852495275e-06
12527a39a5152a59,0,7.080922271561401e-06
12e21b9f7fefde62,1,1.201775843350458e-05
12e21b9f7fefde62,1,1.1879388762762123e-05
12e21b9f7fefde62,1,1.1189341149196163e-05
12e21b9f7fefde62,1,1.1147200445334837e-05
12e21b9f7fefde62,1,1.111310086304139e-05
12e21b9f7fefde62,1,1.0997002762754438e-05
12e21b9f7fefde62,1,1.0813639483773285e-05
12e21b9f7fefde62,1,1.0805440918817466e-05
12e21b9f7fefde62,1,1.0755498462347236e-05
12e21b9f7fefde62,1,1.0729747505352438e-05
142a3027db90d68e,1,6.120872581075138e-06
142a3027db90d68e,1,5.580756654404692e-06
142a3027db90d68e,1,5.42420237086705e-06
142a3027db90d68e,1,5.345804290521867e-06
142a3027db90d68e,1,5.301875209419132e-06
142a3027db90d68e,1,5.291432051557899e-06
142a3027db90d68e,0,5.277671205139499e-06
142a3027db90d68e,1,5.2686222668599925e-06
142a3027db90d68e,1,5.252162170228237e-06
142a3027db90d68e,1,5.184447138260839e-06
