ImageID,Prediction,Score
01b4f093f795747b,1,1.9913587790250857e-05
01b4f093f795747b,1,1.5718797021475112e-05
01b4f093f795747b,1,1.5565418059495778e-05
01b4f093f795747b,1,1.5460865348995498e-05
01b4f093f795747b,0,1.5447588795329963e-05
01b4f093f795747b,1,1.4630511052681179e-05
01b4f093f795747b,0,1.4428602448136702e-05
01b4f093f795747b,1,1.4143992504191126e-05
01b4f093f795747b,1,1.4028714872848263e-05
01b4f093f795747b,1,1.3492454875772207e-05
022c1f420446d118,1,3.6122557615938705e-06
022c1f420446d118,1,3.600745002128516e-06
022c1f420446d118,1,3.597163075651525e-06
022c1f420446d118,1,3.5862778858965594e-06
022c1f420446d118,1,3.584498742003904e-06
022c1f420446d118,1,3.529929905768766e-06
022c1f420446d118,1,3.501965554479091e-06
022c1f420446d118,1,3.4523897968387384e-06
022c1f420446d118,1,3.42091648093236e-06
022c1f420446d118,1,3.4126864147125034e-06
032827813ff3b2b6,1,7.639963948250242e-06
032827813ff3b2b6,0,7.119146341616768e-06
032827813ff3b2b6,0,6.970900506522238e-06
032827813ff3b2b6,1,6.654196215894697e-06
032827813ff3b2b6,1,6.460417071999738e-06
032827813ff3b2b6,1,6.295187804748904e-06
032827813ff3b2b6,0,6.272128394467422e-06
032827813ff3b2b6,0,6.237131756998538e-06
032827813ff3b2b6,1,6.088951001191277e-06
032827813ff3b2b6,1,6.085363987797166e-06
0709eb8e8c2d19fa,1,1.190236557969538e-05
0709eb8e8c2d19fa,1,1.1083728038637508e-05
0709eb8e8c2d19fa,0,1.0734812884792326e-05
0709eb8e8c2d19fa,1,1.060002162074751e-05
0709eb8e8c2d19fa,1,1.0470954004777584e-05
0709eb8e8c2d19fa,1,1.023711022938525e-05
0709eb8e8c2d19fa,1,1.0211999756622182e-05
0709eb8e8c2d19fa,1,1.0184598935492945e-05
0709eb8e8c2d19fa,1,1.0024744149199644e-05
0709eb8e8c2d19fa,1,9.888779709256503e-06
07f52dac7724e48d,1,1.555801705061481e-05
07f52dac7724e48d,0,1.4785085613835015e-05
07f52dac7724e48d,0,1.4763640245128155e-05
07f52dac7724e48d,1,1.3667830044152341e-05
07f52dac7724e48d,1,1.3384183636476008e-05
07f52dac7724e48d,1,1.2819302260890969e-05
07f52dac7724e48d,1,1.2328812022580647e-05
07f52dac7724e48d,1,1.229797660407265e-05
07f52dac7724e48d,1,1.2154873429682847e-05
07f52dac7724e48d,1,1.2005002740648558e-05
092f6bd6d306fdf6,1,1.571786474246223e-05
092f6bd6d306fdf6,1,1.4877761929942206e-05
092f6bd6d306fdf6,1,1.4663041454193277e-05
092f6bd6d306fdf6,0,1.4461784192051232e-05
092f6bd6d306fdf6,1,1.4307809275574377e-05
092f6bd6d306fdf6,1,1.4171608820638616e-05
092f6bd6d306fdf6,1,1.407627281209034e-05
092f6bd6d306fdf6,0,1.4016574636360869e-05
092f6bd6d306fdf6,0,1.3905734004613854e-05
092f6bd6d306fdf6,0,1.3787274388326695e-05
0ea326c0601e86d9,1,2.8268105743017035e-05
0ea326c0601e86d9,1,2.742961768033298e-05
0ea326c0601e86d9,0,2.3040353628781246e-05
0ea326c0601e86d9,1,1.96747259543255e-05
0ea326c0601e86d9,1,1.9659184586994987e-05
0ea326c0601e86d9,1,1.834934673161407e-05
0ea326c0601e86d9,1,1.7144871735888096e-05
0ea326c0601e86d9,1,1.7027044569473544e-05
0ea326c0601e86d9,1,1.596680811903755e-05
0ea326c0601e86d9,1,1.5888927044753606e-05
16a44cc5af5eaeff,1,1.1068547785543672e-05
16a44cc5af5eaeff,0,1.0113332080994377e-05
16a44cc5af5eaeff,0,8.28946730840181e-06
16a44cc5af5eaeff,1,8.158807853354366e-06
16a44cc5af5eaeff,0,8.029697627635743e-06
16a44cc5af5eaeff,1,7.886239606643722e-06
16a44cc5af5eaeff,1,7.847301059535957e-06
16a44cc5af5eaeff,1,7.841635171356582e-06
16a44cc5af5eaeff,0,7.724044673664437e-06
16a44cc5af5eaeff,1,7.640653994256797e-06
1bff6ac19d26199a,1,9.55853258776818e-06
1bff6ac19d26199a,1,9.19235911325619e-06
1bff6ac19d26199a,1,9.110488504849328e-06
1bff6ac19d26199a,1,8.804487879997717e-06
1bff6ac19d26199a,1,8.800298728404288e-06
1bff6ac19d26199a,0,8.781234793879588e-06
1bff6ac19d26199a,1,8.731706875678886e-06
1bff6ac19d26199a,1,8.71629781875405e-06
1bff6ac19d26199a,1,8.712177421761304e-06
1bff6ac19d26199a,1,8.574454536137784e-06
1c3be6adfaccc9a3,1,1.1879360079015244e-05
1c3be6adfaccc9a3,1,1.1603972604354616e-05
1c3be6adfaccc9a3,1,1.1001796333216108e-05
1c3be6adfaccc9a3,0,1.0860039693129696e-05
1c3be6adfaccc9a3,1,1.0819115333068405e-05
1c3be6adfaccc9a3,1,1.0673122530186602e-05
1c3be6adfaccc9a3,1,1.063801294931037e-05
1c3be6adfaccc9a3,1,1.0422446686829103e-05
1c3be6adfaccc9a3,1,1.0353842521124025e-05
1c3be6adfaccc9a3,0,1.0333229551664468e-05
1c79f2e9f0afcd38,1,4.088421565292558e-06
1c79f2e9f0afcd38,1,4.078731724119163e-06
1c79f2e9f0afcd38,1,4.002248595060567e-06
1c79f2e9f0afcd38,0,3.8751656737480005e-06
1c79f2e9f0afcd38,1,3.804340428741453e-06
1c79f2e9f0afcd38,1,3.7147414775861127e-06
1c79f2e9f0afcd38,1,3.538030260166147e-06
1c79f2e9f0afcd38,0,3.497082864168393e-06
1c79f2e9f0afcd38,0,3.4811247360260128e-06
1c79f2e9f0afcd38,1,3.4604477654719412e-06
