ImageID,Prediction,Score
00a159a661a2f5aa,0,7.942689929459862e-06
00a159a661a2f5aa,1,7.775552040453617e-06
00a159a661a2f5aa,1,7.1277844864522915e-06
00a159a661a2f5aa,1,7.06498260142398e-06
00a159a661a2f5aa,1,7.048636205229344e-06
00a159a661a2f5aa,1,6.977614173531277e-06
00a159a661a2f5aa,1,6.960306252477607e-06
00a159a661a2f5aa,1,6.9489367781629334e-06
00a159a661a2f5aa,1,6.872984321397711e-06
00a159a661a2f5aa,0,6.861031705505381e-06
01408d986127ece3,1,7.952934572556718e-06
01408d986127ece3,1,7.74862763769136e-06
01408d986127ece3,0,7.63856467163604e-06
01408d986127ece3,1,7.461189424032148e-06
01408d986127ece3,0,7.193211855771434e-06
01408d986127ece3,1,7.184415271195544e-06
01408d986127ece3,1,7.121542921458715e-06
01408d986127ece3,1,7.049022209026178e-06
01408d986127ece3,1,7.008971334150577e-06
01408d986127ece3,0,6.777968076653413e-06
0a5e36b36115bcc1,1,1.1540873847471649e-05
0a5e36b36115bcc1,1,1.1421517774442565e-05
0a5e36b36115bcc1,1,9.382931634958179e-06
0a5e36b36115bcc1,1,9.251939211083648e-06
0a5e36b36115bcc1,1,9.165796869045662e-06
0a5e36b36115bcc1,1,9.083383593230365e-06
0a5e36b36115bcc1,1,8.933828233675476e-06
0a5e36b36115bcc1,1,8.795036374940835e-06
0a5e36b36115bcc1,1,8.7797048750352e-06
0a5e36b36115bcc1,0,8.75232280281725e-06
105c98d1ee5f03ef,1,5.0985087152207155e-06
105c98d1ee5f03ef,0,4.7402868140283e-06
105c98d1ee5f03ef,1,4.687331070342648e-06
105c98d1ee5f03ef,1,4.6481121243875785e-06
105c98d1ee5f03ef,1,4.612461702044215e-06
105c98d1ee5f03ef,1,4.608034568399417e-06
105c98d1ee5f03ef,1,4.552904751675336e-06
105c98d1ee5f03ef,0,4.4231110169887816e-06
105c98d1ee5f03ef,0,4.37683379532447e-06
105c98d1ee5f03ef,1,4.336477489099347e-06
12e21b9f7fefde62,1,1.8213505244371778e-05
12e21b9f7fefde62,0,1.5452944092967927e-05
12e21b9f7fefde62,1,1.4348868763678029e-05
12e21b9f7fefde62,1,1.4028481569457055e-05
12e21b9f7fefde62,1,1.3315361130085104e-05
12e21b9f7fefde62,1,1.307592248408681e-05
12e21b9f7fefde62,1,1.2779536629019327e-05
12e21b9f7fefde62,1,1.2549904152028203e-05
12e21b9f7fefde62,0,1.2010039082756427e-05
12e21b9f7fefde62,1,1.1879388762762123e-05
14bbb30e5c1c47c7,0,1.4352664721239898e-05
14bbb30e5c1c47c7,1,1.422447051450373e-05
14bbb30e5c1c47c7,1,1.3261288488242571e-05
14bbb30e5c1c47c7,1,1.31882656738965e-05
14bbb30e5c1c47c7,0,1.3164242161489596e-05
14bbb30e5c1c47c7,0,1.30395120767781e-05
14bbb30e5c1c47c7,1,1.284332114837888e-05
14bbb30e5c1c47c7,1,1.2813390386805731e-05
14bbb30e5c1c47c7,0,1.2719162854779615e-05
14bbb30e5c1c47c7,1,1.2704957148810912e-05
169b729f9ecefdf3,1,9.096916793101394e-06
169b729f9ecefdf3,1,8.572786979405691e-06
169b729f9ecefdf3,0,8.426784158010596e-06
169b729f9ecefdf3,0,8.307494832268355e-06
169b729f9ecefdf3,1,8.102947587257355e-06
169b729f9ecefdf3,1,8.050634622309564e-06
169b729f9ecefdf3,0,7.92389106155071e-06
169b729f9ecefdf3,0,7.912849892965068e-06
169b729f9ecefdf3,1,7.81961834719097e-06
169b729f9ecefdf3,1,7.761285529701402e-06
17712bc05cde6832,1,6.387625911595745e-06
17712bc05cde6832,0,6.309563977897765e-06
17712bc05cde6832,1,6.2238381111269375e-06
17712bc05cde6832,1,6.217239092579571e-06
17712bc05cde6832,1,6.0725555401929805e-06
17712bc05cde6832,0,6.004042551579648e-06
17712bc05cde6832,0,6.003325740586832e-06
17712bc05cde6832,1,5.9750241536401335e-06
17712bc05cde6832,0,5.849690516614789e-06
17712bc05cde6832,0,5.849408321714785e-06
186fc1b6f554bd47,1,1.8742297036969577e-05
186fc1b6f554bd47,1,1.5096425587903561e-05
186fc1b6f554bd47,1,1.5014981168246128e-05
186fc1b6f554bd47,0,1.332960136951317e-05
186fc1b6f554bd47,1,1.3315709111114056e-05
