ImageID,Prediction,Score
02f42085acfad7bc,0,7.379031596041683e-06
02f42085acfad7bc,0,6.3001206132917005e-06
02f42085acfad7bc,1,5.774399454031046e-06
02f42085acfad7bc,0,5.751904113049813e-06
02f42085acfad7bc,0,5.16977960000825e-06
02f42085acfad7bc,1,5.149545075161006e-06
02f42085acfad7bc,1,5.1465087295295154e-06
02f42085acfad7bc,1,4.796031915402339e-06
02f42085acfad7bc,0,4.789987912275746e-06
02f42085acfad7bc,0,4.766567804128579e-06
02f42085acfad7bc,1,4.695218115818597e-06
02f42085acfad7bc,1,4.659196116824585e-06
02f42085acfad7bc,1,4.6486042142024545e-06
02f42085acfad7bc,1,4.626381503543865e-06
02f42085acfad7bc,1,4.618036241240002e-06
02f42085acfad7bc,0,4.590596913833895e-06
02f42085acfad7bc,1,4.579443834146337e-06
02f42085acfad7bc,1,4.572323446313295e-06
02f42085acfad7bc,1,4.547568448528508e-06
02f42085acfad7bc,1,4.524629467345823e-06
02f42085acfad7bc,1,4.4629233013804506e-06
02f42085acfad7bc,1,4.428797137539749e-06
02f42085acfad7bc,1,4.38886723950497e-06
02f42085acfad7bc,1,4.354442272035719e-06
02f42085acfad7bc,0,4.3315953749874775e-06
02f42085acfad7bc,1,4.3259451737804805e-06
02f42085acfad7bc,1,4.3081647874455325e-06
02f42085acfad7bc,0,4.241559423468731e-06
02f42085acfad7bc,1,4.124808315680936e-06
02f42085acfad7bc,1,4.084188865631703e-06
02f42085acfad7bc,1,4.076947275947526e-06
02f42085acfad7bc,0,3.980064454181489e-06
02f42085acfad7bc,0,3.973675124684753e-06
02f42085acfad7bc,0,3.9230797456762816e-06
02f42085acfad7bc,0,3.919311524814661e-06
02f42085acfad7bc,1,3.916323602249905e-06
02f42085acfad7bc,1,3.841517333795387e-06
02f42085acfad7bc,1,3.830496370091146e-06
02f42085acfad7bc,1,3.8064553884982784e-06
02f42085acfad7bc,1,3.7948074149568115e-06
02f42085acfad7bc,1,3.772142002538758e-06
02f42085acfad7bc,0,3.7353359693890223e-06
02f42085acfad7bc,1,3.733151129232501e-06
02f42085acfad7bc,0,3.6799780523318437e-06
02f42085acfad7bc,1,3.665014733899685e-06
02f42085acfad7bc,1,3.6292528308963056e-06
02f42085acfad7bc,0,3.626168696065295e-06
02f42085acfad7bc,1,3.6090309930467505e-06
02f42085acfad7bc,0,3.6027234293424317e-06
02f42085acfad7bc,1,3.6006282723132916e-06
02f42085acfad7bc,0,3.579560100180375e-06
02f42085acfad7bc,0,3.5709940795492395e-06
02f42085acfad7bc,1,3.5476269455391974e-06
02f42085acfad7bc,1,3.5428168110960416e-06
02f42085acfad7bc,1,3.5168634625695792e-06
02f42085acfad7bc,1,3.511769187392146e-06
02f42085acfad7bc,0,3.5021987139085364e-06
02f42085acfad7bc,1,3.4741240308257284e-06
02f42085acfad7bc,1,3.4614366779447915e-06
02f42085acfad7bc,1,3.450078666861295e-06
02f42085acfad7bc,1,3.4310700869875335e-06
02f42085acfad7bc,1,3.4309115082497916e-06
02f42085acfad7bc,1,3.4092397682975552e-06
02f42085acfad7bc,0,3.400893309763748e-06
02f42085acfad7bc,1,3.39360327788356e-06
02f42085acfad7bc,1,3.3850868881217575e-06
02f42085acfad7bc,1,3.3811565246959872e-06
02f42085acfad7bc,1,3.376239209513934e-06
02f42085acfad7bc,1,3.3600889219194604e-06
02f42085acfad7bc,1,3.3539023680863405e-06
02f42085acfad7bc,0,3.3511404766629116e-06
02f42085acfad7bc,1,3.349044065867896e-06
02f42085acfad7bc,0,3.3487730324963626e-06
02f42085acfad7bc,1,3.344453307184718e-06
02f42085acfad7bc,0,3.3329817459618985e-06
02f42085acfad7bc,1,3.3222083308387656e-06
02f42085acfad7bc,1,3.314906835009137e-06
02f42085acfad7bc,1,3.28305891194063e-06
02f42085acfad7bc,0,3.2805843651191436e-06
02f42085acfad7bc,1,3.2763089679009016e-06
02f42085acfad7bc,1,3.275956761810128e-06
02f42085acfad7bc,1,3.2540188243950843e-06
02f42085acfad7bc,0,3.24309090235521e-06
02f42085acfad7bc,1,3.2294388389608268e-06
02f42085acfad7bc,0,3.2215724727248733e-06
02f42085acfad7bc,1,3.2170376068234216e-06
02f42085acfad7bc,1,3.209931962230126e-06
02f42085acfad7bc,0,3.198305745233035e-06
02f42085acfad7bc,1,3.190388179854189e-06
02f42085acfad7bc,1,3.17756863930194e-06
02f42085acfad7bc,0,3.1693391455645495e-06
02f42085acfad7bc,1,3.162467483954052e-06
02f42085acfad7bc,0,3.1613599895051026e-06
02f42085acfad7bc,0,3.151555255986392e-06
02f42085acfad7bc,0,3.1508088840911526e-06
02f42085acfad7bc,0,3.1384465137160265e-06
02f42085acfad7bc,1,3.134286649411658e-06
02f42085acfad7bc,0,3.1342753371774026e-06
02f42085acfad7bc,1,3.1253785228114046e-06
02f42085acfad7bc,1,3.1224597427287076e-06
02f42085acfad7bc,1,3.11647271883733e-06
02f42085acfad7bc,1,3.114827853379558e-06
02f42085acfad7bc,0,3.1068688187835635e-06
02f42085acfad7bc,1,3.096788091009989e-06
02f42085acfad7bc,1,3.084586226106943e-06
02f42085acfad7bc,1,3.0657749922296114e-06
02f42085acfad7bc,1,3.058724904418609e-06
02f42085acfad7bc,1,3.0583376434564515e-06
02f42085acfad7bc,1,3.0576545764145844e-06
02f42085acfad7bc,0,3.0544820820285e-06
02f42085acfad7bc,0,3.052890551366628e-06
02f42085acfad7bc,0,3.047846881411157e-06
02f42085acfad7bc,0,3.0435208730772434e-06
02f42085acfad7bc,1,3.0309806973606802e-06
02f42085acfad7bc,1,3.0125836255151014e-06
02f42085acfad7bc,1,3.0116985285674795e-06
02f42085acfad7bc,1,3.011555964231175e-06
02f42085acfad7bc,1,3.0111710053805412e-06
02f42085acfad7bc,0,3.0045695101962374e-06
02f42085acfad7bc,0,2.9950247015660275e-06
02f42085acfad7bc,1,2.988313263818716e-06
02f42085acfad7bc,0,2.9865632123491477e-06
02f42085acfad7bc,0,2.9861815907546414e-06
02f42085acfad7bc,1,2.9856677560051754e-06
02f42085acfad7bc,1,2.978025787217676e-06
02f42085acfad7bc,1,2.9764827616200635e-06
02f42085acfad7bc,0,2.975344417920743e-06
02f42085acfad7bc,1,2.9738643231714927e-06
02f42085acfad7bc,1,2.9709380092582137e-06
02f42085acfad7bc,1,2.9618910477948335e-06
02f42085acfad7bc,1,2.953679745892399e-06
02f42085acfad7bc,0,2.9459132564812353e-06
02f42085acfad7bc,1,2.937720665803842e-06
02f42085acfad7bc,1,2.937542661832535e-06
02f42085acfad7bc,1,2.9335004717112502e-06
02f42085acfad7bc,1,2.9232481126404393e-06
02f42085acfad7bc,1,2.922782118618787e-06
02f42085acfad7bc,0,2.91805503170201e-06
02f42085acfad7bc,1,2.9162480766452553e-06
02f42085acfad7bc,0,2.9150068796239115e-06
02f42085acfad7bc,1,2.910567340560556e-06
02f42085acfad7bc,1,2.9016639251306663e-06
02f42085acfad7bc,1,2.8999885268773197e-06
02f42085acfad7bc,1,2.8985032688348783e-06
02f42085acfad7bc,1,2.8982314717638598e-06
02f42085acfad7bc,1,2.896403243082071e-06
02f42085acfad7bc,1,2.8892364255644823e-06
02f42085acfad7bc,1,2.8839020563999104e-06
02f42085acfad7bc,1,2.8800776799598296e-06
02f42085acfad7bc,1,2.8764459764804756e-06
02f42085acfad7bc,1,2.870717996737668e-06
02f42085acfad7bc,0,2.865931553657709e-06
02f42085acfad7bc,1,2.8599046364559746e-06
02f42085acfad7bc,1,2.8502451558407876e-06
02f42085acfad7bc,0,2.8494392428653225e-06
02f42085acfad7bc,1,2.8491425403746885e-06
02f42085acfad7bc,1,2.8480408455780897e-06
02f42085acfad7bc,0,2.839418950043861e-06
02f42085acfad7bc,1,2.8343408572770475e-06
02f42085acfad7bc,0,2.8272410076716463e-06
02f42085acfad7bc,1,2.8168595214345623e-06
02f42085acfad7bc,1,2.8132209327411578e-06
02f42085acfad7bc,1,2.8119868320957317e-06
02f42085acfad7bc,0,2.809266549676993e-06
02f42085acfad7bc,0,2.804008220269277e-06
